464,Frys.com Open,2015-10-15,2015-10-18
047,Shriners Hospitals for Children Open,2015-10-22,2015-10-25
494,CIMB Classic,2015-10-29,2015-11-01
054,Sanderson Farms Championship,2015-11-05,2015-11-08
489,World Golf Championships-HSBC Champions,2015-11-05,2015-11-08
457,OHL Classic at Mayakoba,2015-11-12,2015-11-15
493,The RSM Classic,2015-11-19,2015-11-22
478,Hero World Challenge,2015-12-03,2015-12-06
058,Franklin Templeton Shootout,2015-12-10,2015-12-12
016,Hyundai Tournament of Champions,2016-01-07,2016-01-10
006,Sony Open in Hawaii,2016-01-14,2016-01-17
002,CareerBuilder Challenge in partnership with the Clinton Foundation,2016-01-21,2016-01-24
004,Farmers Insurance Open,2016-01-28,2016-01-31
003,Waste Management Phoenix Open,2016-02-04,2016-02-07
005,AT&T Pebble Beach Pro-Am,2016-02-11,2016-02-14
007,Northern Trust Open,2016-02-18,2016-02-21
010,The Honda Classic,2016-02-25,2016-02-28
473,World Golf Championships-Cadillac Championship,2016-03-03,2016-03-06
475,Valspar Championship,2016-03-10,2016-03-13
009,Arnold Palmer Invitational presented by MasterCard,2016-03-17,2016-03-20
483,Puerto Rico Open at Coco Beach,2016-03-24,2016-03-27
470,World Golf Championships-Dell Match Play,2016-03-23,2016-03-27
020,Shell Houston Open,2016-03-31,2016-04-03
014,Masters Tournament,2016-04-07,2016-04-10
012,RBC Heritage,2016-04-14,2016-04-17
041,Valero Texas Open,2016-04-21,2016-04-24
018,Zurich Classic of New Orleans,2016-04-28,2016-05-01
480,Wells Fargo Championship,2016-05-05,2016-05-08
011,THE PLAYERS Championship,2016-05-12,2016-05-15
019,AT&T Byron Nelson,2016-05-19,2016-05-22
021,DEAN & DELUCA Invitational,2016-05-26,2016-05-29
023,the Memorial Tournament presented by Nationwide,2016-06-02,2016-06-05
025,FedEx St. Jude Classic,2016-06-09,2016-06-12
026,U.S. Open,2016-06-16,2016-06-19
471,Quicken Loans National,2016-06-23,2016-06-26
472,Barracuda Championship,2016-06-30,2016-07-03
476,World Golf Championships-Bridgestone Invitational,2016-06-30,2016-07-03
490,The Greenbrier Classic,2016-07-07,2016-07-10
518,Barbasol Championship,2016-07-14,2016-07-17
100,The Open Championship,2016-07-14,2016-07-17
032,RBC Canadian Open,2016-07-21,2016-07-24
033,PGA Championship,2016-07-28,2016-07-31
034,Travelers Championship,2016-08-04,2016-08-07
519,Olympic Men's Golf Competition,2016-08-11,2016-08-14
030,John Deere Classic,2016-08-11,2016-08-14
013,Wyndham Championship,2016-08-18,2016-08-21
027,The Barclays,2016-08-25,2016-08-28
505,Deutsche Bank Championship,2016-09-02,2016-09-05
028,BMW Championship,2016-09-08,2016-09-11
060,TOUR Championship by Coca-Cola,2016-09-22,2016-09-25
468,Ryder Cup,2016-09-30,2016-10-02
